Year,Start,Finish,Car Num.,Driver,Car Name/Entrant,Make/Model,Qual Speed,Race Speed
2025,6,1,10,Alex Palou,Chip Ganassi Racing,Dallara/Honda,231.378,168.883
2024,3,1,2,Josef Newgarden,Shell Powering Progress Team Penske,Dallara/Chevrolet,233.808,167.763
2023,17,1,2,Josef Newgarden,Shell Powering Progress Team Penske,Dallara/Chevrolet,232.402,168.193
2022,5,1,8,Marcus Ericsson,Huski Chocolate Chip Ganassi Racing Honda,Dallara/Honda,232.764,175.428
2021,8,1,6,Helio Castroneves,AutoNation/SiriusXM,Dallara/Honda,230.355,190.069
2020,3,1,30,Takuma Sato,Panasonic / PeopleReady,Dallara/Honda,230.725,157.824
2019,1,1,22,Simon Pagenaud,Menards Team Penske,Dallara/Chevrolet,229.992,175.794
2018,3,1,12,Will Power,Verizon Team Penske Chevrolet,Dallara/Chevrolet,228.607,166.935
2017,4,1,26,Takuma Sato,Andretti Autosport Honda,Dallara/Honda,231.365,155.395
2016,11,1,98,Alexander Rossi,NAPA Auto Parts / Curb Honda,Dallara/Honda,228.473,166.634
2015,15,1,2,Juan Pablo Montoya,Verizon Team Penske Chevrolet,Dallara/Chevrolet,224.657,161.341
2014,19,1,28,Ryan Hunter-Reay,DHL Honda,Dallara/Honda,229.719,186.563
2013,12,1,11,Tony Kanaan,Hydroxycut KV Racing Technology-SH Racing,Dallara/Chevrolet,226.949,187.433
2012,16,1,50,Dario Franchitti,Target Chip Ganassi Racing,Dallara/Honda,223.582,167.734
2011,6,1,98,Dan Wheldon,William Rast - Curb/Big Machine,Dallara/Honda,226.49,170.265
2010,3,1,10,Dario Franchitti,Target Chip Ganassi Racing,Dallara/Honda,226.99,161.623
2009,1,1,3,Helio Castroneves,Team Penske,Dallara/Honda,224.864,150.318
2008,1,1,9,Scott Dixon,Target Chip Ganassi Racing,Dallara/Honda,226.366,143.567
2007,3,1,27,Dario Franchitti,Canadian Club,Dallara/Honda,225.191,151.774
2006,1,1,6,Sam Hornish Jr.,Marlboro Team Penske,Dallara/Honda,228.985,157.085
2005,16,1,26,Dan Wheldon,Klein Tools/Jim Beam,Dallara/Honda,224.308,157.603
2004,1,1,15,Buddy Rice,Rahal-Letterman Argent/Pioneer,Panoz G Force/Honda,222.024,138.518
2003,10,1,6,Gil de Ferran,Marlboro Team Penske,Panoz G Force/Toyota,228.633,156.291
2002,13,1,3,Helio Castroneves,Marlboro Team Penske,Dallara/Chevrolet,229.052,166.499
2001,11,1,68,Helio Castroneves,Marlboro Team Penske,Dallara/Oldsmobile,224.142,141.574
2000,2,1,9,Juan Pablo Montoya,Target,G Force/Oldsmobile,223.372,167.607
1999,8,1,14,Kenny Brack,A.J. Foyt PowerTeam Racing,Dallara/Oldsmobile Aurora,222.659,153.176
1998,17,1,51,Eddie Cheever Jr.,Rachel's Potato Chips,Dallara/Oldsmobile Aurora,217.334,145.155
1997,1,1,5,Arie Luyendyk,Wavephore/Sprint PCS/Miller Lite/Provimi,G Force/Oldsmobile Aurora,218.263,145.827
1996,5,1,91,Buddy Lazier,Hemelgarn Racing-Delta Faucet-Montana,Reynard/Ford Cosworth XB,231.468,147.956
1995,5,1,27,Jacques Villeneuve,Player's LTD/Team Green,Reynard/Ford Cosworth XB,228.397,153.616
1994,1,1,31,Al Unser Jr.,Marlboro Penske,Penske/Mercedes Benz,228.011,160.872
1993,9,1,4,Emerson Fittipaldi,Marlboro,Penske/Chevrolet Indy C,220.15,157.207
1992,12,1,3,Al Unser Jr.,Valvoline,Galmer/Chevrolet Indy A,222.989,134.477
1991,1,1,3,Rick Mears,Marlboro,Penske/Chevrolet Indy A,224.113,176.457
1990,3,1,30,Arie Luyendyk,Domino's Pizza,Lola/Chevrolet Indy,223.304,185.981
1989,3,1,20,Emerson Fittipaldi,Marlboro,Penske/Chevrolet Indy,222.329,167.581
1988,1,1,5,Rick Mears,Pennzoil Z-7,Penske/Chevrolet Indy,219.198,144.809
1987,20,1,25,Al Unser,Cummins/Holset Turbo,March/Cosworth,207.423,162.175
1986,4,1,3,Bobby Rahal,Budweiser,March/Cosworth,213.55,170.722
1985,8,1,5,Danny Sullivan,Miller American,March/Cosworth,210.298,152.982
1984,3,1,6,Rick Mears,Pennzoil Z-7,March/Cosworth,207.847,163.612
1983,4,1,5,Tom Sneva,Texaco Star,March/Cosworth,203.687,162.117
1982,5,1,20,Gordon Johncock,STP Oil Treatment,Wildcat/Cosworth,201.884,162.029
1981,1,1,3,Bobby Unser,Norton Spirit,Penske/Cosworth,200.546,139.184
1980,1,1,4,Johnny Rutherford,Pennzoil,Chaparral/Cosworth,192.256,142.862
1979,1,1,9,Rick Mears,The Gould Charge,Penske/Cosworth,193.736,158.899
1978,5,1,2,Al Unser,1st National City Travelers Checks,Lola/Cosworth,196.474,161.363
1977,4,1,14,A.J. Foyt,Gilmore Racing Team,Coyote/Foyt,194.563,161.331
1976,1,1,2,Johnny Rutherford,Hy-Gain,McLaren/Offy,188.957,148.725
1975,3,1,48,Bobby Unser,Jorgensen Eagle,Eagle/Offy,191.073,149.213
1974,25,1,3,Johnny Rutherford,McLaren,McLaren/Offy,190.446,158.589
1973,11,1,20,Gordon Johncock,STP Double Oil Filter,Eagle/Offy,192.555,159.036
1972,3,1,66,Mark Donohue,Sunoco McLaren,McLaren/Offy,191.408,162.962
1971,5,1,1,Al Unser,Johnny Lightning,P.J. Colt/Ford,174.622,157.735
1970,1,1,2,Al Unser,Johnny Lightning 500,P.J. Colt/Ford,170.221,155.749
1969,2,1,2,Mario Andretti,STP Oil Treatment,Hawk III/Ford,169.851,156.867
1968,3,1,3,Bobby Unser,Rislone,Eagle/Offy,169.507,152.882
1967,4,1,14,A.J. Foyt,Sheraton-Thompson,Coyote/Ford,166.289,151.207
1966,15,1,24,Graham Hill,American Red Ball,Lola/Ford,159.243,144.317
1965,2,1,82,Jim Clark,Lotus powered by Ford,Lotus/Ford,160.729,150.686
1964,5,1,1,A.J. Foyt,Sheraton-Thompson,Watson/Offy,154.672,147.35
1963,1,1,98,Parnelli Jones,Agajanian Willard Battery,Watson/Offy,151.153,143.137
1962,2,1,3,Rodger Ward,Leader Card 500 Roadster,Watson/Offy,149.371,140.293
