Finish,Start,Qual. Speed,Car Num.,Driver,Car Name/Entrant,Make/Model,Status,Laps,Led,Winnings
1,5,232.764,8,Marcus Ericsson,Huski Chocolate Chip Ganassi Racing Honda,Dallara/Honda,175.428,200,13,3100000
2,7,232.705,5,Patricio O'Ward,Arrow McLaren SP Chevrolet,Dallara/Chevrolet,175.397,200,26,1000000
3,6,232.372,1,Tony Kanaan,The American Legion Chip Ganassi Racing Honda,Dallara/Honda,175.367,200,6,400000
4,8,232.182,7,Felix Rosenqvist,Vuse Arrow McLaren SP Chevrolet,Dallara/Chevrolet,175.357,200,0,570500
5,20,230.812,27,Alexander Rossi,NAPA AUTO PARTS / AutoNation Honda,Dallara/Honda,175.342,200,0,548000
6,18,230.999,20,Conor Daly,BitNile Chevrolet,Dallara/Chevrolet,175.341,200,7,527100
7,27,229.63,6,Helio Castroneves,AutoNation/SiriusXM Honda,Dallara/Honda,175.315,200,0,205300
8,16,231.275,60,Simon Pagenaud,AutoNation/SiriusXM Honda,Dallara/Honda,175.306,200,0,507000
9,2,233.499,10,Alex Palou,NTT DATA Chip Ganassi Racing Honda,Dallara/Honda,175.287,200,47,569600
10,15,231.508,23,Santino Ferrucci,Palermo's Screamin Sicilian DRR Chevrolet,Dallara/Chevrolet,175.26,200,0,134500
11,30,228.622,6,Juan Pablo Montoya,Arrow McLaren SP Chevrolet,Dallara/Chevrolet,175.229,200,0,127000
12,17,231.112,17,JR Hildebrand,Homes For Our Troops / ABC Supply Chevrolet,Dallara/Chevrolet,175.229,200,0,175300
13,14,231.58,2,Josef Newgarden,Shell Team Penske Chevrolet,Dallara/Chevrolet,175.226,200,0,530000
14,21,230.766,15,Graham Rahal,United Rentals Honda,Dallara/Honda,175.215,200,0,483000
15,11,231.534,12,Will Power,Verizon Team Penske Chevrolet,Dallara/Chevrolet,175.2,200,0,474300
16,13,231.607,18,David Malukas,HMD Honda,Dallara/Honda,175.195,200,0,463000
17,28,229.406,14,Kyle Kirkwood,ROKiT / AJ FOYT RACING Chevrolet,Dallara/Chevrolet,175.179,200,0,463000
18,31,227.053,30,Christian Lundgaard,PeopleReady Honda,Dallara/Honda,175.149,200,0,463000
19,4,233.08,33,Ed Carpenter,Alzamend Neuro Chevrolet,Dallara/Chevrolet,175.162,200,0,117000
20,24,230.326,29,Devlin DeFrancesco,PowerTap Honda,Dallara/Honda,175.158,200,0,463000
21,1,234.048,9,Scott Dixon,PNC Bank Chip Ganassi Racing Honda,Dallara/Honda,175.118,200,95,707000
22,23,230.345,98,Marco Andretti,KULR Technology / Curb Honda,Dallara/Honda,174.998,200,3,114400
23,22,230.464,24,Sage Karam,AES Indiana DRR Chevrolet,Dallara/Chevrolet,Contact,199,0,104500
24,32,226.851,45,Jack Harvey,Hy-Vee Honda,Dallara/Honda,174.247,199,0,158800
25,10,231.67,51,Takuma Sato,Nurtec ODT Honda,Dallara/Honda,174.175,199,0,462000
26,33,0,25,Stefan Wilson,DragonSpeed / Cusick Motorsports Chevrolet,Dallara/Chevrolet,173.344,198,0,102000
27,29,228.916,4,Dalton Kellett,K-LINE / AJ FOYT RACING Chevrolet,Dallara/Chevrolet,173.359,198,0,462000
28,12,231.264,48,Jimmie Johnson,Carvana Chip Ganassi Racing Honda,Dallara/Honda,Contact,193,2,207900
29,26,230.154,3,Scott McLaughlin,Pennzoil Team Penske Chevrolet,Dallara/Chevrolet,Contact,150,0,462000
30,25,230.235,26,Colton Herta,Gainbridge Honda,Dallara/Honda,Mechanical,129,0,469500
31,9,231.999,28,Romain Grosjean,DHL Honda,Dallara/Honda,Contact,105,0,478500
32,19,230.961,77,Callum Ilott,Juncos Hollinger Racing Chevrolet,Dallara/Chevrolet,Contact,68,0,463000
33,3,233.385,21,Rinus VeeKay,Bitcoin Racing Team with BitNile Chevrolet,Dallara/Chevrolet,Contact,38,1,487800
